Time,Time_Code,x1,x2,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Score
2016,YR2016,Pakistan,PAK,-1.324984073,0.140801812,0.67567093,-0.558663542,0.108379019,1.154186348,-1.213632717,1.214311374,0.615768716,0.75146355,-0.064103204,-1.721461852,-5.818890059
2016,YR2016,Panama,PAN,0.558088343,-0.26245078,-0.049631698,-0.130063081,-0.890797961,0.007988302,0.7832582,0.916657818,-1.629292196,-1.076996888,-0.720757266,-0.244702865,-2.699967898
2016,YR2016,Paraguay,PRY,0.183250249,-0.27292037,0.15230583,-0.403993157,0.764472129,0.283295313,0.760113142,0.504246028,-0.343796426,-1.59463318,0.099522684,0.316460691,2.675668725
2016,YR2016,Peru,PER,0.572259386,-0.168027107,0.087299451,-0.796939071,-0.337728921,0.013714964,0.04378933,0.371569387,-0.768631798,-0.525449095,2.815783647,0.338092632,3.985979225
2016,YR2016,Philippines,PHL,-0.485379664,-0.153553963,0.271853649,-0.362072654,0.321574224,-0.082673333,-0.719135272,1.375517889,-0.730669954,-0.34721507,-0.548642725,0.191269975,-4.60486179
2016,YR2016,Poland,POL,-0.108478303,-0.241382068,-1.246162171,0.064640345,1.042640765,-0.627613796,0.08062812,0.075862938,0.422434145,0.275764503,0.111330898,-0.40676468,-3.024022024
2016,YR2016,Portugal,PRT,0.245375966,-0.321435437,-1.088976517,-0.338812889,-0.269162386,-0.442758294,-0.453698775,-0.065924839,-0.136487293,0.28966842,-0.670260831,0.041333281,-8.030584196
2016,YR2016,Qatar,QAT,2.027279036,-0.553537191,2.524436714,-0.306685918,2.301864825,-0.161540596,1.033560331,-0.343479951,-0.100283425,-0.216869558,0.256543521,0.609453574,28.70077432
2016,YR2016,Romania,ROU,-0.365405627,-0.399084498,-1.66860079,-0.227182915,0.986324074,-0.883896324,0.237632302,0.741465556,1.220186534,0.264406635,-0.269070274,-1.032607141,-6.946206128
2016,YR2016,Russian Federation,RUS,0.778181406,1.345108937,-1.672818646,-0.333825902,-0.424718833,2.015684349,0.933114807,-1.47966319,-0.720794756,-0.418485641,1.402737609,-0.754651541,5.301647293
2016,YR2016,Rwanda,RWA,-1.180596262,-0.199188012,0.817441681,-0.455935105,-1.405238347,0.415203998,-0.30686522,1.136305808,0.467878477,-0.178126399,-0.198868268,3.406603676,-3.616441601
2016,YR2016,Samoa,WSM,-0.878666312,-0.478644925,-1.19484126,-0.250719948,-0.976600717,-0.007242609,-1.21555183,2.207455072,-1.99538904,-0.361421772,-0.943817393,-0.152079953,-19.67119798
2016,YR2016,Saudi Arabia,SAU,0.900252115,-0.207228743,1.150164888,-0.650549292,0.923927572,0.294006665,-0.567520176,-0.67682669,0.756910125,-0.368309796,-0.590705363,-0.113069826,7.759619468
2016,YR2016,Senegal,SEN,-0.760695998,-0.289487517,0.93993078,-0.650170186,-0.190137122,-0.965689328,0.335044058,0.708296881,-0.435273058,-0.507660271,-0.678133062,-1.802079012,-11.32706588
2016,YR2016,Sierra Leone,SLE,-0.646643075,-0.175064781,-0.741110486,0.141163172,-2.256726694,1.349022378,7.291942484,0.971905488,-0.439094424,0.818621494,-2.38852803,0.191815691,4.843902904
2016,YR2016,Singapore,SGP,-0.079818861,1.419246827,0.427134272,6.535838842,-0.13832096,0.327124842,0.174461815,-1.84312194,-2.267745149,-1.653601495,-1.076094551,-0.31140529,14.48584867
2016,YR2016,Slovak Republic,SVK,-0.225554308,-0.488051795,-1.243225734,0.897610178,1.152804433,-0.739484999,0.163708211,-0.347303939,0.017482014,0.428471339,-0.152530011,-0.293657047,-3.520591764
2016,YR2016,Slovenia,SVN,-0.248966503,-0.555792983,-1.124685685,0.306156207,1.177839601,-0.922940396,-0.163156379,0.080071484,-0.606523692,1.206010053,-0.577960141,0.055508997,-5.564450992
2016,YR2016,South Africa,ZAF,-0.007347598,-0.187642292,-0.081667507,-0.284424538,-0.070927486,0.817229777,-0.551582723,-1.253693348,1.311558798,0.112082099,0.854672866,-0.710911368,-1.312284713
2016,YR2016,Spain,ESP,0.773084502,0.098360165,-0.758528132,-0.589486618,-0.480057287,-0.502348153,-0.462032129,0.258463859,0.162432336,0.444500218,-0.398762766,0.045734367,-1.27155038
